course_number,course_title,Units,Type,Section,Session,Time,Seats,Registered,Instructor,Room,start_time_of_day,end_time_of_day,day_of_week
MPKS-150a,Beginning Piano,NA,Lecture,45406D,001,9:00-9:50am,16,8,Stephen Pierce,MUS213,9,9.833333333333334,Tuesday
MPKS-150a,Beginning Piano,NA,Lecture,45409D,001,10:00-10:50am,16,12,Stephen Pierce,MUS213,10,10.833333333333334,Tuesday
MPKS-150a,Beginning Piano,NA,Lecture,45412D,001,11:00-11:50am,16,13,Stephen Pierce,MUS213,11,11.833333333333334,Tuesday
MPKS-150a,Beginning Piano,NA,Lecture,45415D,001,12:00-12:50pm,16,15,Stephen Pierce,MUS213,12,12.833333333333334,Tuesday
MPKS-150a,Beginning Piano,NA,Lecture,45418D,001,1:00-1:50pm,16,14,Stephen Pierce,MUS213,13,13.833333333333334,Tuesday
MPKS-150a,Beginning Piano,NA,Lecture,45421D,001,2:00-2:50pm,16,14,Stephen Pierce,MUS213,14,14.833333333333334,Tuesday
MPKS-150a,Beginning Piano,NA,Lecture,45427D,001,6:00-6:50pm,16,16,Stephen Pierce,MUS213,18,18.833333333333332,Tuesday
MPKS-150b,Beginning Piano,NA,Lecture,45441D,001,5:00-5:50pm,16,14,Stephen Pierce,MUS213,17,17.833333333333332,Tuesday
MPKS-150c,Beginning Piano,2.0 units,Lecture,45451D,001,7:00-7:50pm,16,6,Stephen Pierce,MUS213,19,19.833333333333332,Tuesday
MPKS-450a,Piano Pedagogy: Intermediate Literature and Functional Skill,2.0 units,Lecture,45635D,001,10:00-11:50am,12,12,Stephen Pierce,MUS208,10,11.833333333333334,Tuesday
MPKS-481,Interpretation of Baroque Music,"2.0 units, max 6",Lecture,45685D,001,10:00-11:50am,20,19,Lucinda Carver,MUS106,10,11.833333333333334,Tuesday
MPKS-560,Song Interpretation Master Class,"2.0 units, max 12",Lecture,45792D,001,12:00-1:50pm,6,5,Alan Smith,RHM310,12,13.833333333333334,Tuesday
MPKS-560,Song Interpretation Master Class,NA,Lecture,45793D,001,12:00-1:50pm,6,2,Alan Smith,RHM310,12,13.833333333333334,Tuesday
MPPM-120,Popular Music Performance I,"2.0 units, max 8",Lecture,47320D,001,4:00-5:50pm,30,27,Andy Abad,CTV136A,16,17.833333333333332,Tuesday
MPPM-120,Popular Music Performance I,NA,Lecture,47321D,001,6:00-7:50pm,33,33,Sean Holt,CTV136A,18,19.833333333333332,Tuesday
MPPM-240,Drumming Proficiency for the Popular Musician,NA,Lecture,47374D,001,10:00-11:50am,8,4,Peter Erskine,TMC G122B,10,11.833333333333334,Tuesday
MPPM-370,The Vocal Edge: Contemporary Vocal Performance Techniques,"2.0 units, max 4",Lecture,47490D,001,2:00-3:50pm,20,9,Sean Holt,TMC G102B,14,15.833333333333334,Tuesday
MPPM-420,Latin Pop,2.0,Lecture,47511D,001,8:00-9:50pm,20,13,Andy Abad,CTV136A,20,21.833333333333332,Tuesday
MPST-153,Double Bass,1.0-2.0,Lecture,45900D,001,6:00-7:50pm,15,0,David Moore Ralph Kirshbaum,"BMH100, RHM112",18,19.833333333333332,Tuesday
MPST-253,Double Bass,1.0-2.0,Lecture,45925D,001,6:00-7:50pm,15,2,David Moore Ralph Kirshbaum,"BMH100, RHM112",18,19.833333333333332,Tuesday
MPST-462,Double Bass Performance Class,"1.0 units, max 8",Lecture,46085D,001,6:00-7:50pm,10,3,David Moore,BMH100,18,19.833333333333332,Tuesday
MPST-472,Viola,2.0,Lecture,46112D,001,5:00-6:50pm,12,4,Karen Dreyfus,MUS208,17,18.833333333333332,Tuesday
MPVA-402,Musical Theatre Workshop I,3.0 units,Lecture,46420D,001,2:00-3:50pm,20,15,Parmer Fuller,MUS204,14,15.833333333333334,Tuesday
MPVA-403,Acting for Singers II,"2.0 units, max 8",Lecture,46423D,001,10:00-11:50am,15,7,Ken Cazan,AES138A,10,11.833333333333334,Tuesday
MPWP-153,Clarinet,1.0-2.0,Lecture,46633D,001,12:00-12:50pm,12,1,Yehuda Gilad David Howard,"MUS105, MUS208, MUS308",12,12.833333333333334,Tuesday
MPWP-253,Clarinet,1.0-2.0,Lecture,46693D,001,12:00-12:50pm,12,2,Yehuda Gilad David Howard,"MUS105, MUS208, MUS308",12,12.833333333333334,Tuesday
MPWP-440,Drum Set for Classical Percussionists,"1.0 units, max 2",Lecture,46815D,001,4:00-4:50pm,8,3,Peter Erskine,TMC G122B,16,16.833333333333332,Tuesday
MPWP-452,Clarinet,1.0,Lecture,46826D,001,12:00-12:50pm,15,2,Yehuda Gilad David Howard,"MUS105, MUS208",12,12.833333333333334,Tuesday
MPWP-551,Clarinet,1.0,Lecture,46930D,001,12:00-12:50pm,15,1,Yehuda Gilad David Howard,"MUS105, MUS208",12,12.833333333333334,Tuesday
MS-301,Leadership and Problem Solving,3.0 units,Lecture,41830D,001,7:00-9:50am,25,19,Raul Avila,KAP146,7,9.833333333333334,Tuesday
MS-401,Leadership and Management,3.0 units,Lecture,41840D,001,7:00-9:50am,25,9,Nicholas Lucas,GFS212,7,9.833333333333334,Tuesday
