course_number,course_title,Units,Type,Section,Session,Time,Seats,Registered,Instructor,Room,start_time_of_day,end_time_of_day,day_of_week
ACAD-174,Innovators Forum,"2.0 units, max 4",Lecture,10200D,001,5:00-7:50pm,29,29,Doug Thomas,IYH212/213,17,19.833333333333332,Monday
ACAD-181g,Disruptive Innovation,4.0 units,Lecture,10207D,001,9:30-11:50am,29,29,Philip More,IYH211,9.5,11.833333333333334,Monday
ACAD-204,Strength of Materials,NA,Lecture,28719R,001,2:00-3:20pm,34,22,Oussama Safadi,ZHS163,14,15.333333333333334,Monday
ACAD-206,Communication and Culture,4.0 units,Lecture,20388D,001,12:00-1:50pm,125,110,Taj Frazier,ASC G26,12,13.833333333333334,Monday
ACAD-207,Multimedia for Designers and Entrepreneurs I,4.0 units,Lecture,10234D,001,12:00-2:50pm,26,26,Carsten Becker,IYH213,12,14.833333333333334,Monday
ACAD-240,Materials: Denim to Nanotubes,4.0 units,Lecture,10235D,001,10:00-11:50am,26,26,Michael Crowley,IYH111,10,11.833333333333334,Monday
ACAD-275,Dev I,4.0 units,Lecture,10205D,001,5:00-7:50pm,30,20,Patrick Dent,IYH210,17,19.833333333333332,Monday
ACAD-301,Dynamics,3.0 units,Lecture,28725R,001,8:00-8:50am,60,22,Geoffrey Shiflett,GFS116,8,8.833333333333334,Monday
ACAD-301,Dynamics,NA,Lecture,28726D,001,9:00-9:50am,82,81,Geoffrey Shiflett,GFS116,9,9.833333333333334,Monday
ACAD-302,The Hacker Imagination: from Ancient Greece to Cupertino,4.0 units,Lecture,10230D,001,10:00-11:50am,34,34,Doug Thomas,IYH210,10,11.833333333333334,Monday
ACAD-311,Design for User Experience,4.0 units,Lecture,32029D,001,2:00-3:50pm,30,21,Chris Swain,RTH115,14,15.833333333333334,Monday
ACAD-311,Design for User Experience,NA,Lecture,32035D,001,10:00-11:50am,37,21,Chris Swain,KAP163,10,11.833333333333334,Monday
ACAD-312,Materials Behavior and Processing,NA,Lecture,32131D,001,2:00-3:50pm,31,30,Lessa Grunenfelder,VKC201,14,15.833333333333334,Monday
ACAD-330,3D Design: Objects and Space,4.0 units,Lecture,33289D,001,12:00-2:40pm,20,6,Alice Fung,HAR112D,12,14.666666666666666,Monday
ACAD-332a,Typography,NA,Lecture,33459D,001,9:00-11:40am,20,19,Jason Ellenburg,WAH102B,9,11.666666666666666,Monday
ACAD-341,Android App Development,4.0 units,Lecture,32040D,001,6:00-7:50pm,37,23,Bennett Lee,KAP158,18,19.833333333333332,Monday
ACAD-342,iOS App Development,4.0 units,Lecture,31890D,001,12:00-1:50pm,61,59,Trina Gregory,KAP160,12,13.833333333333334,Monday
ACAD-375,Business and Professional Communication,4.0 units,Lecture,20577D,001,3:30-4:50pm,18,14,Paula Patnoe-Woodley,ANN409ABC,15.5,16.833333333333332,Monday
ACAD-376,Discerning and Making I: Concept and Feasibility,4.0 units,Lecture,10224D,001,3:00-4:50pm,34,34,Matthew Manos,IYH210,15,16.833333333333332,Monday
ACAD-449,Applications of Machine Learning,NA,Lecture-Lab,32086D,001,10:00-11:50am,37,37,Nitin Kale,KDC236,10,11.833333333333334,Monday
ACAD-475a,The Garage Experience,4.0-8.0 units,Lecture,10218D,001,12:00-2:50pm,29,29,Matthew Manos,SKS404,12,14.833333333333334,Monday
ACAD-476,Technologies for Interactive Marketing,4.0 units,Lecture-Lab,32072D,001,2:00-3:50pm,37,29,P J Leimgruber,KAP158,14,15.833333333333334,Monday
ACCT-370,External Financial Reporting Issues,4.0 units,Lecture,14026D,001,10:00-11:50am,40,40,Smrity Randhawa,ACC236,10,11.833333333333334,Monday
ACCT-370,External Financial Reporting Issues,NA,Lecture,14027D,001,12:00-1:50pm,39,37,Smrity Randhawa,ACC236,12,13.833333333333334,Monday
ACCT-372,Internal Reporting Issues,NA,Lecture,14051R,442,2:00-3:50pm,42,29,Cecil Jackson,JFF236,14,15.833333333333334,Monday
ACCT-373,Introduction to Auditing and Assurance Services,2.0 units,Lecture,14055D,431,8:00-9:50am,42,13,Rose Layton,ACC303,8,9.833333333333334,Monday
ACCT-373,Introduction to Auditing and Assurance Services,NA,Lecture,14056D,431,10:00-11:50am,40,41,Rose Layton,ACC303,10,11.833333333333334,Monday
ACCT-373,Introduction to Auditing and Assurance Services,NA,Lecture,14057D,431,12:00-1:50pm,40,43,Rose Layton,ACC303,12,13.833333333333334,Monday
ACCT-374,Introduction to Tax Issues,NA,Lecture,14061D,431,2:00-3:50pm,40,29,Charles Swenson,JFF236,14,15.833333333333334,Monday
ACCT-377,Valuation for Financial Statement Purposes,2.0 units,Lecture,14065R,442,8:00-9:50am,40,13,Tom Ryan,ACC303,8,9.833333333333334,Monday
ACCT-377,Valuation for Financial Statement Purposes,NA,Lecture,14066R,442,10:00-11:50am,43,42,Tom Ryan,ACC303,10,11.833333333333334,Monday
ACCT-377,Valuation for Financial Statement Purposes,NA,Lecture,14067R,442,12:00-1:50pm,40,43,Tom Ryan,ACC303,12,13.833333333333334,Monday
ACCT-410x,Foundations of Accounting,4.0 units,Lecture,14090D,001,8:00-9:50am,46,28,Zivia Wilson Sweeney,JFF236,8,9.833333333333334,Monday
ACCT-410x,Foundations of Accounting,NA,Lecture,14091D,001,10:00-11:50am,42,37,Zivia Wilson Sweeney,JFF236,10,11.833333333333334,Monday
ACCT-410x,Foundations of Accounting,NA,Lecture,14093D,001,12:00-1:50pm,47,46,Zivia Wilson Sweeney,JFF236,12,13.833333333333334,Monday
ACCT-416,Financial Reporting and Analysis,2.0 units,Lecture,14105D,431,10:00-11:50am,45,43,Patricia Dechow,ACC201,10,11.833333333333334,Monday
ACCT-416,Financial Reporting and Analysis,NA,Lecture,14106D,431,12:00-1:50pm,45,40,Patricia Dechow,ACC201,12,13.833333333333334,Monday
ACCT-430,Accounting Ethics,4.0 units,Lecture,14144D,001,8:00-9:50am,48,24,Gregory Kling,ACC201,8,9.833333333333334,Monday
ACCT-430,Accounting Ethics,NA,Lecture,14145D,001,12:00-1:50pm,48,47,Gregory Kling,JFF239,12,13.833333333333334,Monday
ACCT-462,Detecting Fraudulent Financial Reporting,2.0 units,Lecture,14183D,431,10:00-11:50am,41,40,Cecil Jackson,BRI5,10,11.833333333333334,Monday
ACCT-470,Advanced External Financial Reporting Issues,4.0 units,Lecture,14120D,001,2:00-3:50pm,40,44,Herbert Perlmutter,ACC303,14,15.833333333333334,Monday
ACCT-470,Advanced External Financial Reporting Issues,NA,Lecture,14121D,001,4:00-5:50pm,40,37,Herbert Perlmutter,ACC303,16,17.833333333333332,Monday
ACCT-473,Financial Statement Auditing,2.0 units,Lecture,14135R,442,10:00-11:50am,42,41,Rose Layton,BRI5,10,11.833333333333334,Monday
ACCT-473,Financial Statement Auditing,NA,Lecture,14136R,442,12:00-1:50pm,40,39,Rose Layton,BRI5,12,13.833333333333334,Monday
ACCT-474,Tax Issues for Business,2.0 units,Lecture,14140R,442,10:00-11:50am,45,24,Shiing-Wu Wang,ACC201,10,11.833333333333334,Monday
ACCT-499,Personal Financial and Tax Planning,2.0,Lecture,14189R,442,2:00-3:50pm,30,9,Shiing-Wu Wang,ACC310,14,15.833333333333334,Monday
ACCT-541L,Auditing in the Enhanced Data Age,3.0 units,Lecture,14205D,001,11:00-12:20pm,45,31,Patrick Kinsella,JKP102,11,12.333333333333334,Monday
ACCT-549,Advanced Enterprise Systems and Technologies,3.0 units,Lecture,14201D,001,8:00-9:20am,48,46,Daniel O'Leary,"JKP102, TBA",8,9.333333333333334,Monday
ACCT-549,Advanced Enterprise Systems and Technologies,NA,Lecture,14215D,001,9:30-10:50am,50,49,Daniel O'Leary,"JKP102, HOH EDI",9.5,10.833333333333334,Monday
ACCT-560t,Tax Theory and Ethics,3.0 units,Lecture,14231D,431,2:00-4:50pm,50,26,Jack Barcal,JKP102,14,16.833333333333332,Monday
ACCT-560t,Tax Theory and Ethics,NA,Lecture,14243D,001,7:30-9:00pm,15,10,Jack Barcal,JKP202,19.5,21,Monday
ACCT-561t,Income Tax of Corporations and Their Shareholders,3.0 units,Lecture,14237D,442,2:00-4:50pm,50,26,Gregory Kling,JKP102,14,16.833333333333332,Monday
ACCT-581,Financial Statement Analysis,3.0 units,Lecture,14268R,033,2:00-3:20pm,30,27,Richard Sloan,JKP202,14,15.333333333333334,Monday
ACCT-581,Financial Statement Analysis,NA,Lecture,14270R,033,12:30-1:50pm,40,40,Richard Sloan,JKP202,12.5,13.833333333333334,Monday
ACCT-581,Financial Statement Analysis,NA,Lecture,14278D,001,2:00-3:20pm,27,27,Richard Sloan,JKP202,14,15.333333333333334,Monday
ACCT-581,Financial Statement Analysis,NA,Lecture,14280D,001,12:30-1:50pm,17,16,Richard Sloan,JKP202,12.5,13.833333333333334,Monday
ACCT-585,Professional Responsibilities in Accounting,3.0 units,Lecture,14213D,001,8:00-9:20am,21,19,Lori Smith,JKP202,8,9.333333333333334,Monday
ACCT-585,Professional Responsibilities in Accounting,NA,Lecture,14219D,001,9:30-10:50am,24,24,Lori Smith,JKP202,9.5,10.833333333333334,Monday
ACCT-585,Professional Responsibilities in Accounting,NA,Lecture,14220D,001,11:00-12:20pm,23,23,Lori Smith,JKP202,11,12.333333333333334,Monday
ACCT-602,Judgment and Decision-Making Research in Accounting,1.5 units,Lecture,14322R,411,10:00-12:50pm,10,5,Sarah Bonner,ACC312,10,12.833333333333334,Monday
ACCT-699,Accounting Measuring and Evaluating Earnings Quality,1.5,Lecture,14319R,415,10:00-12:50pm,25,11,Patricia Dechow,HOH114,10,12.833333333333334,Monday
AHIS-125gp,Arts of Asia: Antiquity to 1300,4.0 units,Lecture,11838R,001,10:00-11:20am,100,88,Rika Hiro,THH102,10,11.333333333333334,Monday
AHIS-344,Baroque Art,4.0 units,Lecture,11938R,001,3:30-4:50pm,19,19,Hector Reyes,VKC109,15.5,16.833333333333332,Monday
AHIS-369,Modern Art II: 1851-1940,4.0 units,Lecture,11967R,001,2:00-3:20pm,19,17,Samantha Burton,VKC261,14,15.333333333333334,Monday
AHIS-373g,History and Theory of Photography,4.0 units,Lecture,11971R,001,10:00-11:20am,45,44,Samantha Burton,VKC150,10,11.333333333333334,Monday
AHIS-525,Seminar in American Art,4.0 units,Lecture,12079D,001,2:00-4:50pm,8,6,Jennifer Greenhill,THH308,14,16.833333333333332,Monday
ALI-224,Academic and Professional Speaking Skills I,2.0 units,Lecture,10101R,001,2:00-3:20pm,14,13,Kimberley Briesch Sumner,THH B9,14,15.333333333333334,Monday
ALI-234,Academic and Professional Speaking Skills II,NA,Lecture,10115R,001,2:00-3:20pm,12,11,Mary Ann Murphy,THH117,14,15.333333333333334,Monday
ALI-234,Academic and Professional Speaking Skills II,NA,Lecture,10117R,001,3:30-4:50pm,12,8,Mary Ann Murphy,THH117,15.5,16.833333333333332,Monday
ALI-235,Academic and Professional Writing Skills II,NA,Lecture,10126R,001,2:00-3:20pm,10,12,Juli Kirkpatrick,SOS B50,14,15.333333333333334,Monday
ALI-235,Academic and Professional Writing Skills II,NA,Lecture,10128R,001,3:30-4:50pm,14,11,Kimberley Briesch Sumner,LVL3B,15.5,16.833333333333332,Monday
ALI-244,Academic and Professional Speaking Skills III,NA,Lecture,10139R,001,2:00-3:20pm,14,13,Olivia Martinez,GFS217,14,15.333333333333334,Monday
ALI-245,Academic and Professional Writing III,2.0 units,Lecture,10144R,001,8:30-9:50am,15,14,Richard Jones,LVL3B,8.5,9.833333333333334,Monday
ALI-245,Academic and Professional Writing III,NA,Lecture,10149R,001,2:00-3:20pm,12,12,Richard Jones,GFS228,14,15.333333333333334,Monday
ALI-245,Academic and Professional Writing III,NA,Lecture,10150R,001,5:00-6:20pm,15,12,Tracy Levin,LVL3B,17,18.333333333333332,Monday
ALI-252,Advanced Pronunciation,2.0 units,Lecture,10157R,001,2:00-3:20pm,14,12,Barry Griner,THH B10,14,15.333333333333334,Monday
ALI-254,Academic and Professional Speaking Skills IV,NA,Lecture,10162R,001,5:00-6:20pm,14,7,Eric Roth,THH205,17,18.333333333333332,Monday
ALI-255,Academic and Professional Writing Skills IV,NA,Lecture,10166D,001,12:00-1:50pm,21,21,James Polk,VKC155,12,13.833333333333334,Monday
ALI-255,Academic and Professional Writing Skills IV,NA,Lecture,10168R,001,2:00-3:20pm,15,12,Eric Roth,LVL3B,14,15.333333333333334,Monday
ALI-270,Advanced Oral Communication for ITAs,3.0 units,Lecture,10173D,001,10:00-11:50am,8,5,Reka Clausen,THH107,10,11.833333333333334,Monday
ALI-270,Advanced Oral Communication for ITAs,NA,Lecture,10175D,001,12:00-1:50pm,8,6,Reka Clausen,THH109,12,13.833333333333334,Monday
ALI-275,Writing for Publication and Dissertations,NA,Lecture,10194D,001,5:00-6:20pm,8,8,Mary Ann Murphy,THH117,17,18.333333333333332,Monday
AME-204,Strength of Materials,NA,Lecture,28719R,001,2:00-3:20pm,34,22,Oussama Safadi,ZHS163,14,15.333333333333334,Monday
AME-301,Dynamics,3.0 units,Lecture,28725R,001,8:00-8:50am,60,22,Geoffrey Shiflett,GFS116,8,8.833333333333334,Monday
AME-301,Dynamics,NA,Lecture,28726D,001,9:00-9:50am,82,81,Geoffrey Shiflett,GFS116,9,9.833333333333334,Monday
AME-302,Dynamic Systems,3.0 units,Lecture,28728R,001,2:00-3:20pm,34,32,Inna Abramova,KAP145,14,15.333333333333334,Monday
AME-302,Dynamic Systems,NA,Lecture,28729R,001,10:00-11:50am,31,30,Inna Abramova,VHE206,10,11.833333333333334,Monday
AME-308,Computer-Aided Analyses for Aero-Mechanical Design,3.0 units,Lecture-Lab,28732R,001,2:00-4:50pm,36,34,Yann Staelens,SAL127,14,16.833333333333332,Monday
AME-310,Engineering Thermodynamics I,3.0 units,Lecture,28738R,001,10:00-11:50am,63,59,Anita Penkova,THH210,10,11.833333333333334,Monday
AME-341a,Mechoptronics Laboratory I and II,3.0 units,Lecture,28741R,001,8:00-8:50am,80,76,Bocheng Jin Akshay Potnuru,SGM124,8,8.833333333333334,Monday
AME-341a,Mechoptronics Laboratory I and II,NA,Lecture,28742R,001,8:00-8:50am,79,79,Bocheng Jin Akshay Potnuru,SGM101,8,8.833333333333334,Monday
AME-341a,Mechoptronics Laboratory I and II,NA,Lab,28743R,001,2:00-4:50pm,39,37,Bocheng Jin Akshay Potnuru,BHE301,14,16.833333333333332,Monday
AME-404,Computational Solutions to Engineering Problems,3.0 units,Lecture,28754D,001,2:00-3:50pm,52,50,Takahiro Sakai,GFS118,14,15.833333333333334,Monday
AME-404,Computational Solutions to Engineering Problems,NA,Lecture,29005D,014,9:30-10:50am,10,7,Takahiro Sakai,DEN@Viterbi,9.5,10.833333333333334,Monday
AME-404,Computational Solutions to Engineering Problems,NA,Lecture,28755R,001,9:30-10:50am,45,45,Takahiro Sakai,OHE100C,9.5,10.833333333333334,Monday
AME-430,Thermal Systems Design,3.0 units,Lecture,28772D,001,6:40-9:20pm,30,26,Zuhair Ibrahim,RTH217,18.666666666666668,21.333333333333332,Monday
AME-430,Thermal Systems Design,NA,Lecture,29072D,014,6:40-9:20pm,10,0,Zuhair Ibrahim,DEN@Viterbi,18.666666666666668,21.333333333333332,Monday
AME-441aL,Senior Projects Laboratory,3.0 units,Lecture,28774R,001,12:00-1:50pm,50,50,Charles Radovich Matthew Gilpin,KDC240,12,13.833333333333334,Monday
AME-441aL,Senior Projects Laboratory,NA,Lecture,28775R,001,12:00-1:50pm,50,48,Charles Radovich Matthew Gilpin,GFS106,12,13.833333333333334,Monday
AME-441aL,Senior Projects Laboratory,NA,Lecture,28776R,001,12:00-1:50pm,50,39,Charles Radovich Matthew Gilpin,SOSB2,12,13.833333333333334,Monday
AME-451,Linear Control Systems I,3.0 units,Lecture,28821R,001,5:00-6:20pm,60,56,Henryk Flashner,OHE122,17,18.333333333333332,Monday
AME-451,Linear Control Systems I,NA,Lecture,29021D,014,5:00-6:20pm,30,5,Henryk Flashner,DEN@Viterbi,17,18.333333333333332,Monday
AME-463L,Introduction to Transport Processes in Porous Media,NA,Lab,32210R,001,3:30-5:50pm,12,3,NA,PCE313,15.5,17.833333333333332,Monday
AME-491,Aerodesign Project,1.0,Lecture,28796D,001,7:00-9:00pm,30,8,Charles Radovich,BHE301,19,21,Monday
AME-499,Mechanics in Medicine and Biology,3.0,Lecture,28900R,001,2:00-3:20pm,30,5,Niema Pahlevan,VHE214,14,15.333333333333334,Monday
AME-506,Continuum Mechanics,4.0 units,Lecture,28802R,048,8:00-9:50am,25,6,Assad Oberai,SOS B37,8,9.833333333333334,Monday
AME-513a,Fundamentals and Applications of Combustion,4.0 units,Lecture,28873R,048,1:30-3:20pm,25,17,Fokion Egolfopoulos,OHE120,13.5,15.333333333333334,Monday
AME-513a,Fundamentals and Applications of Combustion,NA,Lecture,29044D,034,1:30-3:20pm,20,7,Fokion Egolfopoulos,DEN@Viterbi,13.5,15.333333333333334,Monday
AME-521,Engineering Vibrations II,4.0 units,Lecture,28881R,048,5:00-6:50pm,40,12,Bingen Yang,RTH109,17,18.833333333333332,Monday
AME-521,Engineering Vibrations II,NA,Lecture,29051D,034,5:00-6:50pm,20,8,Bingen Yang,DEN@Viterbi,17,18.833333333333332,Monday
AME-525,Engineering Analysis,4.0 units,Lecture,28885R,048,12:00-1:50pm,63,56,Eva Kanso,OHE122,12,13.833333333333334,Monday
AME-525,Engineering Analysis,NA,Lecture,29056D,034,12:00-1:50pm,35,31,Eva Kanso,DEN@Viterbi,12,13.833333333333334,Monday
AME-530a,Dynamics of Incompressible Fluids,4.0 units,Lecture,28890R,048,11:30-1:20pm,42,21,Paul Newton,OHE100B,11.5,13.333333333333334,Monday
AME-530a,Dynamics of Incompressible Fluids,NA,Lecture,29060D,034,11:30-1:20pm,30,8,Paul Newton,DEN@Viterbi,11.5,13.333333333333334,Monday
AME-549,Systems Architecting,3.0 units,Lecture,32319D,034,3:30-6:10pm,30,14,Azad Madni,DEN@Viterbi,15.5,18.166666666666668,Monday
AME-549,Systems Architecting,NA,Lecture,32349D,048,3:30-6:10pm,30,9,Azad Madni,OHE120,15.5,18.166666666666668,Monday
AME-578,Modern Alternative Energy Conversion Devices,3.0 units,Lecture,28941R,048,12:00-1:20pm,33,15,John Hall,OHE120,12,13.333333333333334,Monday
AME-578,Modern Alternative Energy Conversion Devices,NA,Lecture,29092D,034,12:00-1:20pm,12,7,John Hall,DEN@Viterbi,12,13.333333333333334,Monday
AMST-111g,Sex in America,4.0 units,Lecture,10319D,001,2:00-3:20pm,49,44,Nayan Shah,THH114,14,15.333333333333334,Monday
AMST-111g,Sex in America,NA,Discussion,10330D,001,3:30-4:20pm,25,21,Quinn Anex-Ries,SOSB41,15.5,16.333333333333332,Monday
AMST-206mg,The Politics and Culture of the 1960s,4.0 units,Lecture,10361D,001,3:00-3:50pm,30,27,Rick Berg,KAP148,15,15.833333333333334,Monday
AMST-220mgw,The Making of Asian America,4.0 units,Lecture,10371D,001,2:00-3:20pm,35,35,Adrian De Leon,KAP147,14,15.333333333333334,Monday
AMST-252mgw,Black Social Movements in the U.S.,4.0 units,Lecture,10381D,001,12:00-1:50pm,148,134,Francille Wilson,THH202,12,13.833333333333334,Monday
AMST-274mgw,Exploring Ethnicity Through Film,NA,Discussion,10392D,001,12:00-12:50pm,25,25,Nicole Richards,THHB10,12,12.833333333333334,Monday
AMST-274mgw,Exploring Ethnicity Through Film,NA,Discussion,10394R,001,4:00-4:50pm,25,25,Nicole Richards,VKC155,16,16.833333333333332,Monday
AMST-301gp,"America, the Frontier, and the New West",4.0 units,Lecture,10408D,001,2:00-3:20pm,125,125,Chrisshonna Nieva,THH301,14,15.333333333333334,Monday
AMST-301gp,"America, the Frontier, and the New West",NA,Discussion,10411D,001,12:00-12:50pm,25,25,Chrisshonna Nieva Joshua Mitchell,SOSB48,12,12.833333333333334,Monday
AMST-301gp,"America, the Frontier, and the New West",NA,Discussion,10414D,001,1:00-1:50pm,25,25,Chrisshonna Nieva Joshua Mitchell,SOSB48,13,13.833333333333334,Monday
AMST-345,Law and American Indian Studies,4.0 units,Lecture,10346D,001,10:00-10:50am,30,13,Deanna Rivera,GFS202,10,10.833333333333334,Monday
AMST-406,Social Media Storytelling for Latinx Audiences,2.0 units,Lecture,21198D,001,2:00-3:40pm,20,5,Amara Aguilar,ANN408,14,15.666666666666666,Monday
AMST-492,Research Methods in American Studies and Ethnicity,4.0 units,Lecture,10442D,001,2:00-4:50pm,12,7,George Sanchez,KAP150,14,16.833333333333332,Monday
AMST-500,Introduction to American Studies and Ethnicity,4.0 units,Lecture,10450D,001,5:00-7:30pm,12,6,John Rowe,KAP150,17,19.5,Monday
AMST-525,Seminar in American Art,4.0 units,Lecture,12079D,001,2:00-4:50pm,8,6,Jennifer Greenhill,THH308,14,16.833333333333332,Monday
AMST-700,Theories and Practices of Professional Development,4.0 units,Lecture,10491D,001,4:00-6:30pm,12,3,Nayan Shah,KAP137,16,18.5,Monday
ANST-508,Research: Investigative Inquiry,3.0 units,Lecture,40308R,046,8:00-11:50am,36,20,Elizabeth Bamgbose Charles Griffis Natalie Meyers,CHP233A,8,11.833333333333334,Monday
ANST-611,Leadership and Collaborative Practice,3.0 units,Lecture,40327R,046,7:30-11:50am,20,20,Jeffrey Darna,TBA,7.5,11.833333333333334,Monday
ANST-620a,Clinical Synthesis I,1.0 unit,Lecture,40335R,046,12:00-7:00pm,20,20,Charlotte Garcia Tahira Smith-Aifesehi Regalado Valerio Elizabeth Bamgbose,CHP233A,12,19,Monday
ANST-621b,Clinical Synthesis II,1.0 unit,Lecture,40338R,046,11:00-4:00pm,20,19,Jeffrey Darna,CHP233A,11,16,Monday
ANTH-140g,Mesoamerican Cosmovision and Culture,4.0 units,Lecture,10601R,001,2:00-3:20pm,100,98,Kirby Farah,GFS106,14,15.333333333333334,Monday
ANTH-140g,Mesoamerican Cosmovision and Culture,NA,Discussion,10602R,001,10:00-10:50am,25,25,NA,SOSB52,10,10.833333333333334,Monday
ANTH-140g,Mesoamerican Cosmovision and Culture,NA,Discussion,10603R,001,11:00-11:50am,25,24,NA,SOSB48,11,11.833333333333334,Monday
ANTH-200Lg,The Human Animal,4.0 units,Lecture,38511R,001,2:00-3:20pm,180,160,Craig Stanford,SGM123,14,15.333333333333334,Monday
ANTH-200Lg,The Human Animal,NA,Lab,38515R,001,10:00-11:50am,20,19,Elizabeth Beachem,AHF B10,10,11.833333333333334,Monday
ANTH-200Lg,The Human Animal,NA,Lab,38518R,001,12:00-1:50pm,20,19,Koray Yilmaz,AHF B10,12,13.833333333333334,Monday
ANTH-201g,Principles of Human Organization,4.0 units,Lecture,10610R,001,1:00-1:50pm,100,99,Thomas Ward,SGM101,13,13.833333333333334,Monday
ANTH-201g,Principles of Human Organization,NA,Discussion,10611R,001,9:00-9:50am,25,25,NA,GFS220,9,9.833333333333334,Monday
ANTH-201g,Principles of Human Organization,NA,Discussion,10612R,001,10:00-10:50am,25,24,NA,GFS222,10,10.833333333333334,Monday
ANTH-263g,Exploring Culture Through Film,4.0 units,Lecture,10660R,001,8:30-9:50am,101,95,Xochitl Ruiz,THH202,8.5,9.833333333333334,Monday
ANTH-263g,Exploring Culture Through Film,NA,Discussion,10661R,001,11:00-11:50am,25,25,NA,VKC158,11,11.833333333333334,Monday
ANTH-263g,Exploring Culture Through Film,NA,Discussion,10662R,001,12:00-12:50pm,25,23,NA,VKC158,12,12.833333333333334,Monday
ANTH-300,"Evolution, Ecology, and Culture",4.0 units,Lecture,38529D,001,4:00-6:50pm,15,15,Trond Sigurdsen,THH106,16,18.833333333333332,Monday
ANTH-338g,Food in Culture and Society,4.0 units,Lecture,10687R,001,11:00-11:50am,27,27,Xochitl Ruiz,THH213,11,11.833333333333334,Monday
ANTH-441w,Cities of the Middle East,4.0 units,Lecture,41501R,001,2:00-3:20pm,19,17,Ekin Kurtic,THH209,14,15.333333333333334,Monday
ANTH-575,Seminar in Ethnographic Film,4.0 units,Lecture,10645R,001,4:00-6:50pm,25,10,Emily Zeamer,KAP113,16,18.833333333333332,Monday
ARAB-122,Arabic I,4.0 units,Lecture,41506D,001,1:00-1:50pm,19,11,Muhammad Alkhudair,WPH206,13,13.833333333333334,Monday
ARAB-122,Arabic I,NA,Lecture,41508D,001,9:00-9:50am,19,5,Muhammad Alkhudair,THH115,9,9.833333333333334,Monday
ARAB-152,Arabic II,4.0 units,Lecture,41514R,001,1:00-1:50pm,19,16,Sozan Wali,VKC108,13,13.833333333333334,Monday
ARAB-222,Arabic III,4.0 units,Lecture,41524R,001,11:00-11:50am,19,13,Sozan Wali,VKC208,11,11.833333333333334,Monday
ARAB-322,Advanced Arabic I,4.0 units,Lecture,41536R,001,10:00-10:50am,5,2,Sozan Wali,WPH204,10,10.833333333333334,Monday
ARCH-102aL,Architectural Design I,4.0 units,Lecture-Lab,11200D,001,2:00-5:50pm,93,85,Erin Kasimow,WAH B10,14,17.833333333333332,Monday
ARCH-106x,Workshop in Architecture,NA,Lecture,11239D,001,12:00-1:50pm,16,12,Valery Augustin,WAH B7,12,13.833333333333334,Monday
ARCH-202aL,Architectural Design II,6.0 units,Lecture-Lab,11204D,001,2:00-5:50pm,86,81,Alfred Koetter,HAR215,14,17.833333333333332,Monday
ARCH-205aL,Building Science I,4.0 units,Lecture-Lab,11205D,001,1:00-3:50pm,13,12,Mina Chow,WAH B12,13,15.833333333333334,Monday
ARCH-302aL,Architectural Design III,6.0 units,Lecture-Lab,11218D,001,2:00-5:50pm,71,69,James Diewald,HAR205,14,17.833333333333332,Monday
ARCH-314,History of Architecture: Contemporary Issues,3.0 units,Lecture,11225D,001,10:00-11:50am,90,76,Ginger Nolan Gary Fox,MRF340,10,11.833333333333334,Monday
ARCH-402aL,Architectural Design IV,NA,Lecture-Lab,11234D,001,2:00-5:50pm,28,26,Gary Paige,HAR115A,14,17.833333333333332,Monday
ARCH-406,"Global Studies: Topics in Architecture, Urbanism, History and Art",NA,Lecture,11430D,001,12:00-1:50pm,24,19,Diane Ghirardo,WAH212,12,13.833333333333334,Monday
ARCH-470a,Architectural Studies Capstone,1.0 unit,Lecture,11384D,731,2:00-3:50pm,14,14,Lauren Matchison,WAH B7,14,15.833333333333334,Monday
ARCH-500aL,Comprehensive Architectural Design,6.0 units,Lecture-Lab,11238D,001,2:00-5:50pm,68,68,Roland Wahlroos-Ritter,WAH207,14,17.833333333333332,Monday
ARCH-505aL,Themes,6.0,Lecture-Lab,11278D,001,2:00-5:50pm,34,34,Eric Haas,WAH209,14,17.833333333333332,Monday
ARCH-507,Theories of Computer Technology,3.0 units,Lecture,11408D,001,9:00-11:50am,26,20,Karen Kensek,WPH B36,9,11.833333333333334,Monday
ARCH-511L,Building Systems: Materials and Construction,NA,Lecture-Lab,11283D,001,6:30-9:50pm,40,15,Bhavna Sharma,RTH105,18.5,21.833333333333332,Monday
ARCH-511L,Building Systems: Materials and Construction,NA,Lecture-Lab,11288D,001,6:30-9:50pm,5,1,Bhavna Sharma,DEN@Viterbi,18.5,21.833333333333332,Monday
ARCH-514a,Global History of Architecture,3.0 units,Lecture,11330D,001,10:30-11:50am,40,23,Kenneth Breisch,WAH B1,10.5,11.833333333333334,Monday
ARCH-527,Case Studies: The Development of Urban Housing,2.0 units,Lecture,11307D,001,6:30-8:30pm,20,16,John Mutlow,WAH212,18.5,20.5,Monday
ARCH-549,Fundamentals of Heritage Conservation,3.0 units,Lecture,11295R,001,6:30-9:20pm,24,17,Jay Platt,ZHS163,18.5,21.333333333333332,Monday
ARCH-599,Digital Fabrication - Materials and Methods of Production,3.0,Lecture,11339R,001,6:30-9:20pm,15,15,Robert Ley,WAH B7,18.5,21.333333333333332,Monday
